STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
1977,CITY LAKE OF NADIAD,LAKE,GUJARAT,23,35,2.5,8.7,8.5,9.8,619,15521,1.9,87,0.24,8.2,4,26,21,63,2017
1978,"RANJITNAGAR TALAV (HALOL), 
PANCHMAHALS",LAKE,GUJARAT,29,30,4.1,7.2,7.7,8.5,122,124,0.4,1.1,0,0.56,4,4,11,21,2017
2075,"DHAROI DAM, DIST. 
MEHSANA.",LAKE,GUJARAT,26,31,5.2,9.2,7.5,8.3,226,450,1.5,2.7,0.04,0.08,2,7,2,33,2017
2076,"ANKLESHWAR RESERVOIR AT 
GIDC ANKLESHWAR AT VALIA 
ROAD.",LAKE,GUJARAT,26,31,7,7.9,7.7,8.9,229,1770,1,1.2,0.06,0.27,8,23,26,49,2017
2077,"MOTICHER LAKE NEAR 
KAKARPAR ATOMIC POWER 
STATION, DIST. SURAT.",LAKE,GUJARAT,27,33,6.1,7.4,7.3,8.2,300,476,1,1.9,0,0.92,12,79,38,120,2017
2078,"KUWADAVA LAKE, VILL. 
KUWADAVA, DIST. RAJKOT.",LAKE,GUJARAT,24,28,5.7,7.7,7,8,209,1190,1.1,4.8,0,0.17,7,7,14,14,2017
3197,"MACHHU-II DAM, 
RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,24,36,5.3,7.8,7.4,8.2,344,2370,0.7,3.7,0.07,0.62,2,2,2,2,2017
3198,"GOMTI LAKE, OPP, 
RANCHODAJI TEMPLE, DAKOR, 
KHEDA",LAKE,GUJARAT,24,37,2,20,7.3,8.2,325,621,0.7,2.7,0.04,0.86,4,26,11,70,2017
3199,"HAMISAR TALAV, BHUJ",LAKE,GUJARAT,24,33,1.2,6.4,7,8.2,457,3200,0.7,11,0.71,11.8,4,9,7,24,2017
3200,"MOONSAR LAKE OF 
VIRAMGAM",LAKE,GUJARAT,27,30,0.5,9.7,8.4,9.1,1884,12150,21,124,0.18,0.53,11,43,43,220,2017
3201,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,26,30,1.6,9.5,8.6,9.1,2354,3102,17,57,0.18,0.35,7,25,26,170,2017
3202,"VHERAIMATA TALAV AT 
ANAND",LAKE,GUJARAT,26,30,2.1,5.2,7.4,8.7,190,1268,1.2,8,0,0.58,2,17,11,50,2017
1979,"OLPAD, VILLAGE 
POND:OLPAD, SURAT",POND,GUJARAT,25,34,5.1,7,7.1,8.1,360,1073,1.1,2,0.01,0.11,26,48,94,177,2017
2079,"DHUDHIA TALAV AT NAVSARI, 
DIST. NAVSARI.",POND,GUJARAT,24,32,6,7.4,4.6,8.2,326,552,0.9,2.3,0.03,0.09,17,542,41,542,2017
1971,"THOL TANK (KALOL) (DIST. 
MEHASANA)",TANK,GUJARAT,26,30,4.2,10,7.4,8.3,221,422,6,29,0.05,80,2,70,11,170,2017
1349,"BRAHMSAROVAR LAKE AT 
KURUKSHETRA, HARYANA",LAKE,HARYANA,,,5.7,8.8,6.9,8.8,165,557,0.8,2.8,0,0.04,170,1750,840,8400,2017
1392,"SUKHNA LAKE, CHANDIGARH",LAKE,HARYANA,,,5.8,8.8,7.1,8.2,281,566,2.4,5,0,0,200,1200,1480,5800,2017
1291,"GOBINDSAGAR LAKE AT 
BILASPUR, H.P.",LAKE,"HIMACHAL 
PRADESH",10,24,7.5,10.1,7.7,8.3,176,572,0.2,0.4,0.1,0.96,27,120,220,920,2017
1292,"PONGDAM LAKE AT PONG 
VILLAGE, H.P.",LAKE,"HIMACHAL 
PRADESH",13.5,20,6.3,8.5,7.4,8.4,172,352,0.1,0.8,0.04,1.45,5,13,170,280,2017
1429,"RENUKA LAKE , 35 KM FROM 
PATNA SAHIB NORTH , H.P",LAKE,"HIMACHAL 
PRADESH",13,24,5.3,7.7,6.4,8,719,886,1.2,2.6,0.24,0.75,21,91,33,63,2017
2649,RIWALSAR LAKE,LAKE,"HIMACHAL 
PRADESH",12,30,4.5,9.8,7.2,8.2,190,288,2,22,0,1.79,94,210,540,1600,2017
2650,KHAZIAR LAKE,LAKE,"HIMACHAL 
PRADESH",7.9,15.1,5.9,6.3,6.8,7.7,69,133,2.8,8,0,1.53,17,38,540,950,2017
1388,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,28,36,4.2,9.8,7.4,9.3,410,666,3,8,0.55,2,330,79000,1090,542000,2017
1446,"HEBALLA VALLEY LAKE AT D-S 
ROAD BRIDGE NR. MANDYA, 
KARNATAKA",LAKE,KARNATAKA,23,27,4,6.4,7.6,8.4,496,1596,2,5.7,0.24,5.8,330,1700,2100,6300,2017
3582,HEBBAL LAKE,LAKE,KARNATAKA,21,32,2.8,5,6.4,9.2,1203,2540,6.5,24.8,0.1,1.38,1100,2600,4700,7000,2017
3583,KUKKARAHALLI LAKE,LAKE,KARNATAKA,24,32,5.2,7.5,7.4,9.5,526,950,4,9,0.2,0.68,920,1700,4600,6300,2017
3584,DALAVAI LAKE,LAKE,KARNATAKA,24,30,1.1,3.2,7,8.6,754,1174,10.4,24,0.13,4.2,1700,4300,6300,8400,2017
3585,YENNEHOLE LAKE,LAKE,KARNATAKA,25,34,1.2,3.4,7.2,8.6,733,1241,10.6,24.6,0.3,3.54,1700,2700,6300,8400,2017
3586,LIMBHABUDI LAKE,LAKE,KARNATAKA,24,32,3.3,5.8,7.5,9.5,310,1334,4.2,15.6,0.15,0.63,930,2300,4700,6300,2017
3587,SHETTYKERE LAKE,LAKE,KARNATAKA,24,32,4,6.2,7.9,9.2,469,1109,4,10.8,0.24,0.6,920,2100,4600,6300,2017
3591,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,21,26,4.2,7.7,6.8,7.3,282,600,4,5,0.7,7.49,210,4900,1720,22100,2017
3592,YEDIYUR LAKE,LAKE,KARNATAKA,21,35,0.7,8,6.5,8,250,664,2,25,0.31,4.57,790,490000,3480,1090000,2017
3593,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,27,36,4.2,9.8,6.9,9.3,330,666,3,8,0.41,2,270,79000,1090,542000,2017
3601,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25,34,1,7,6.6,7.5,1417,4960,6.6,62,2.7,11,11000,330000,109000,3480000,2017
3602,BELLANDUR LAKE,LAKE,KARNATAKA,27,29,0.6,6.9,6.7,7.2,552,1406,4,45,1,4.9,70000,17200000,141000,54200000,2017
3608,VARTHUR LAKE,LAKE,KARNATAKA,28,33,1.8,4.9,6.8,10.9,644,1894,4,45,1.1,10,79000,3480000,348000,17200000,2017
3610,TUBRAHALLI LAKE,LAKE,KARNATAKA,26,32,3.1,4.9,7,8.2,889,2210,8,42,0.85,4.4,2200,1300000,14100,3480000,2017
3611,KAIKONDANAHALLI LAKE,LAKE,KARNATAKA,27,29,4.1,6.8,7.2,9,582,1025,2,12,0.76,2.2,330,490000,3480,1410000,2017
3612,AGARAM LAKE,LAKE,KARNATAKA,27,29,4.9,6.6,7.2,8.8,576,1528,2,11,0.6,2.4,490,210000,3480,1750000,2017
3613,GOTTEGRE LAKE,LAKE,KARNATAKA,29,29,,,7.1,7.1,1081,1081,45,45,2,2,2700,2700,14100,14100,2017
3614,PUTTENAHALLI LAKE (S),LAKE,KARNATAKA,27,30,1,6.9,7,7.8,598,1719,4.5,12,1,15,2700,790000,34800,5420000,2017
3615,ARAKERE LAKE,LAKE,KARNATAKA,27,29,1.1,6.9,7,8.4,643,1727,5,11.6,1,2.3,1400,1720000,17200,5420000,2017
3616,KALENA AGRAHARA LAKE,LAKE,KARNATAKA,28,30,2.7,6.5,6.8,8.4,251,1313,3.9,21,0.84,9.9,3300,330000,10900,1090000,2017
3617,HULIMAVU LAKE,LAKE,KARNATAKA,27,30,1.5,6.9,6.9,7.8,607,1726,4,16,0.8,14.6,1100,2600000,17200,22100000,2017
3618,SINGASANDRA LAKE,LAKE,KARNATAKA,25.3,29,1.5,6.2,6.8,8.7,544,1206,2,19,0.7,3,1400,120000,5420,1720000,2017
3620,PARAPPANA AGRAHARA LAKE,LAKE,KARNATAKA,25.1,29,3.7,6.5,6.2,8.6,425,1179,3,12,1,3.3,700,790000,2210,1720000,2017
3621,HARALAKUNTE LAKE,LAKE,KARNATAKA,25,29,5,6.9,6.4,8.7,588,1540,2,10.5,1,14.3,270,490000,2210,1720000,2017
3622,SOMASUNDRA PALYA LAKE,LAKE,KARNATAKA,25.2,29,3.3,5.8,6.7,8.5,547,1307,3,145,1,8,3300,790000,10900,5420000,2017
3624,PUTTENAHALLI  LAKE,LAKE,KARNATAKA,27,30,0.3,5.9,6.5,7.3,218,2610,6,300,1.2,10.88,21000,3300000,120000,7900000,2017
